Nome_Unidade,UF_Unidade
SEC DE RECURSOS HUMANOS/UBERABA,MG
SEC DE RECURSOS HUMANOS/MACAPA,AP
SEC DE RECURSOS HUMANOS/RIO BRANCO,AC
SEC DE RECURSOS HUMANOS/JUAZEIRO DO NORT,CE
SEC DE RECURSOS HUMANOS/BLUMENAU,SC
SEC DE RECURSOS HUMANOS/PONTA GROSSA,PR
SEC DE RECURSOS HUMANOS/ANAPOLIS,GO
SEC OPERACIONAL DA G DE PESSOAS SANTAREM,PA
SEC OPERAC DA GESTAO DE PESSOAS/MARABA,PA
SEC DE RECURSOS HUMANOS/CAMPO GRANDE,MS
SEC DE RECURSOS HUMANOS/BARREIRAS,BA
SEC DE RECURSOS HUMANOS-PALMAS,TO
DEPOSITO NAVAL EM SALVADOR,BA
CENTRO DE INTENDENCIA DA MARINHA BELEM,PA
COMANDO DO PRIMEIRO DISTRITO NAVAL,RJ
DIRETORIA DE ABASTECIMENTO DA MARINHA,RJ
DIRETORIA DE ENGENHARIA NAVAL,RJ
INSTITUTO DE PESQUISAS DA MARINHA,RJ
DIRETORIA DE COMUNICACOES E TI DA MARINH,RJ
DIRETORIA GERAL DO PESSOAL DA MARINHA,RJ
TRIBUNAL MARITIMO,RJ
DIRET PATRIM HIST DOCUMENTAÇÃO MARINHA,RJ
DIRETORIA DE PORTOS E COSTAS,RJ
ESCOLA DE GUERRA NAVAL,RJ
CENTRO DE INTENDENCIA DA MB EM MANAUS,AM
ESCOLA NAVAL,RJ
CAPITANIA DOS PORTOS EST. RIO DE JANEIRO,RJ
SUPERINTENDENCIA ESTADUAL-MS,MS
